id,playerId,characterId,masteryPoints,wins,losses
785,181,18,40,1,0
721,149,8,-15,1,4
744,165,16,175,14,12
795,192,6,0,0,1
835,72,10,0,0,1
740,165,1,190,10,4
732,165,18,365,17,15
738,113,8,70,7,5
814,203,9,0,0,2
725,165,8,145,5,5
733,61,14,115,20,26
752,61,16,175,21,23
836,72,12,0,0,1
763,113,6,545,40,32
735,165,15,10,1,4
793,146,17,253,11,8
803,195,18,160,4,15
790,181,6,-2,0,1
849,224,10,40,1,0
731,165,7,175,7,4
823,209,4,0,0,1
765,7,14,0,0,2
813,203,17,0,0,1
848,226,3,0,0,3
739,146,5,10,1,2
751,149,1,-20,1,3
815,203,4,40,1,0
816,203,16,0,0,1
719,149,14,30,4,4
804,47,12,0,0,2
824,206,4,0,0,1
825,206,2,40,1,0
826,206,12,0,0,1
808,47,4,60,2,4
845,23,18,0,0,1
806,71,18,60,2,0
840,218,5,0,0,1
830,210,1,0,0,1
767,181,2,286,8,19
786,149,10,210,13,10
831,71,14,15,1,1
801,195,12,0,0,2
833,71,16,-5,1,4
838,26,11,0,0,1
841,218,17,0,0,1
850,229,7,228,27,30
843,219,10,0,0,1
846,222,2,0,0,1
842,157,8,0,0,2
847,224,15,0,0,1
821,65,16,40,1,1
797,7,15,40,1,2
810,202,5,110,4,17
855,225,3,0,0,1
853,225,17,0,0,1
854,225,2,0,0,1
852,225,9,0,0,2
856,225,15,40,1,0
858,232,12,0,0,1
743,165,5,-50,0,6
859,232,6,-2,0,2
861,232,17,40,1,0
863,232,5,-2,0,1
864,232,18,-2,0,1
860,232,14,-2,0,2
910,243,18,0,0,1
879,238,2,40,1,1
951,250,4,0,0,2
867,225,8,0,0,1
865,225,16,0,0,3
868,233,2,0,0,1
869,234,11,0,0,1
929,250,7,40,1,2
870,225,14,0,0,1
871,225,6,0,0,1
872,225,1,0,0,1
925,240,11,-15,0,2
851,225,4,40,1,4
873,225,11,40,1,1
874,235,10,0,0,1
966,258,11,-2,5,9
890,237,18,-10,0,2
876,235,18,0,0,1
875,235,5,120,3,2
956,254,8,136,4,19
866,225,12,40,1,4
880,238,11,0,0,1
912,229,14,-5,0,1
968,258,14,125,15,10
974,258,17,55,10,13
898,240,7,160,4,5
885,33,2,0,0,1
997,265,2,40,1,1
886,238,12,0,0,1
887,238,16,0,0,1
888,238,1,0,0,1
889,226,12,0,0,1
914,240,14,-2,0,2
891,237,10,-10,0,2
897,240,17,80,2,0
972,258,6,180,23,8
915,240,9,15,2,2
934,251,12,70,2,5
883,240,4,65,2,6
944,253,10,0,0,1
958,255,10,0,0,1
913,229,16,30,1,1
896,240,12,0,0,1
969,258,3,58,3,7
931,240,1,-10,0,1
893,237,5,-10,0,2
927,240,5,-20,0,2
920,243,4,0,0,1
916,240,18,16,1,4
946,253,12,0,0,1
947,253,3,0,0,1
895,232,16,25,2,1
981,47,18,0,0,1
881,232,11,0,1,1
922,229,12,5,1,0
899,238,10,20,1,0
900,244,11,0,0,1
970,258,12,291,33,14
911,237,7,-15,0,2
948,253,1,0,0,2
917,229,18,-10,1,3
932,250,5,-2,0,3
950,250,1,0,0,1
924,247,9,0,0,1
937,251,4,10,1,2
902,240,8,0,0,1
903,229,4,-5,0,1
1001,257,8,40,1,0
904,99,14,-5,0,1
938,251,11,203,8,11
935,251,9,0,0,1
936,203,12,40,1,0
987,258,7,218,22,17
907,237,3,-10,0,1
908,229,17,20,1,0
909,237,1,-10,0,1
962,255,5,-5,0,1
955,254,6,293,8,6
926,23,12,0,0,1
877,237,2,128,9,17
967,258,4,10,6,10
928,61,3,-10,0,1
892,237,6,40,2,2
905,237,9,-25,1,3
901,237,15,-5,1,1
986,258,1,40,2,1
999,255,9,40,2,1
940,23,17,0,0,1
982,47,1,0,0,1
918,229,5,5,2,2
884,237,4,575,49,57
941,7,4,20,1,0
930,250,9,0,0,3
973,258,15,0,0,1
933,251,18,160,6,10
945,253,6,40,1,1
963,72,11,40,1,1
939,251,17,68,5,6
894,229,3,271,11,14
994,255,14,-5,0,1
878,21,15,25,3,1
991,258,5,-2,0,1
978,251,3,0,0,3
923,229,10,50,8,8
975,250,14,10,1,0
976,257,15,0,0,1
961,255,12,15,1,1
919,229,11,-15,6,8
906,229,9,115,7,1
954,255,2,0,5,13
979,258,18,10,1,2
952,255,1,60,2,1
980,7,18,40,1,1
985,47,17,0,0,1
998,258,9,-20,1,3
983,47,3,0,0,2
984,47,5,0,0,1
988,251,10,15,1,2
862,232,4,30,2,3
949,250,15,120,3,2
942,30,12,80,2,4
990,258,10,28,4,3
977,255,17,-30,0,4
965,258,16,-150,17,21
992,260,14,0,0,1
1000,255,7,30,1,1
964,258,8,-37,2,13
971,258,2,718,72,33
960,255,6,-20,0,2
995,255,16,-20,0,2
996,253,17,0,0,1
882,240,2,210,10,10
943,250,2,80,2,0
993,255,18,-25,0,3
921,231,12,0,0,6
989,255,15,0,1,1
957,255,3,100,4,4
1002,250,18,10,1,0
953,255,11,310,12,8
1003,257,17,0,0,1
959,255,4,45,4,4
1073,273,4,40,1,2
1048,271,4,0,0,1
1004,19,14,40,1,1
1005,19,16,40,1,1
1088,281,8,35,1,1
1006,229,1,-15,1,1
1007,268,16,20,1,0
1091,273,5,0,0,2
1097,300,12,30,2,0
1053,285,8,10,1,5
1010,268,2,20,1,0
1011,269,3,0,0,1
1109,293,10,0,0,1
1012,268,18,0,0,1
1014,268,9,0,0,1
1059,285,17,20,1,0
1015,268,5,0,0,1
1049,285,3,0,0,2
1017,268,17,40,1,0
1089,271,14,0,0,1
1021,274,6,0,0,1
1072,273,17,0,0,1
1023,276,5,0,0,1
1018,268,11,0,0,2
1087,287,11,95,4,4
1024,276,18,0,0,1
1019,271,9,40,1,4
1016,268,10,40,1,1
1025,279,5,0,0,1
1090,299,2,0,0,1
1027,278,11,0,0,1
1074,273,10,0,0,1
1028,211,5,0,0,1
1029,279,1,0,0,1
1098,301,2,0,0,1
1104,269,10,-10,0,1
1032,283,11,0,0,1
1009,268,12,0,0,5
1034,283,12,40,1,0
1099,301,5,0,0,1
1036,284,3,0,0,1
1076,251,14,-10,0,1
1031,280,9,0,0,2
1077,273,1,40,1,0
1037,280,11,0,0,1
1038,280,6,0,0,1
1039,280,4,40,1,1
1079,273,2,0,0,1
1041,280,2,0,0,1
1042,280,10,40,1,0
1050,281,7,0,0,3
1043,280,12,40,1,0
1044,269,11,0,0,1
1101,11,17,35,3,5
1082,281,15,76,3,3
1046,286,16,0,0,1
1083,281,4,70,3,2
1061,285,2,30,2,3
1022,274,12,40,1,4
1113,305,4,0,0,1
1080,281,14,73,2,4
1063,291,12,0,0,1
1100,157,10,40,1,0
1051,285,15,36,2,2
1064,285,18,-10,0,1
1047,269,14,56,5,2
1086,287,15,279,12,11
1062,285,4,5,4,2
1052,289,2,0,0,1
1013,269,9,65,4,2
1092,301,3,0,0,1
1054,291,2,40,1,0
1055,291,11,0,0,1
1056,291,6,0,0,1
1057,291,5,0,0,1
1065,273,9,0,0,1
1026,268,6,195,8,0
1093,302,8,0,0,1
1069,295,4,120,3,4
1094,300,6,20,1,0
1066,294,9,0,0,1
1106,293,16,0,0,3
1067,295,16,0,0,1
1068,295,1,0,0,1
1114,305,16,0,0,1
1070,295,18,0,0,1
1075,295,2,0,0,3
1035,269,7,183,8,6
1084,298,1,40,1,0
1105,293,11,40,1,1
1008,269,5,569,81,74
1096,273,7,0,0,1
1040,281,10,38,1,4
1102,273,6,40,1,1
1111,305,10,80,2,1
1030,281,11,38,1,3
1107,250,11,40,1,0
1095,300,2,60,2,0
1108,293,15,40,1,0
1071,251,16,-30,2,6
1085,273,3,90,3,3
1081,281,5,53,3,4
1058,271,10,153,4,9
1020,271,11,148,4,8
1078,273,11,80,2,7
1110,305,11,0,0,1
1103,250,10,0,0,1
1112,305,12,20,1,1
1060,293,12,0,0,2
1045,285,11,439,16,14
1033,281,17,70,6,22
