id,threadId,ladderResetId,winnerId,winnerCharacterId,loserId,loserCharacterId,ranked,finishedAt
650,,1,16,4,26,8,,1744265860651
651,,1,29,4,26,4,,1744266102840
652,,1,29,1,26,4,,1744266562224
653,,1,29,4,26,2,,1744266758900
654,,2,29,4,30,4,,1744267480073
655,,1,16,7,26,2,,1744267737837
656,,1,29,4,19,4,,1744267878999
657,,1,19,1,26,2,,1744268161679
658,,1,26,2,19,5,,1744268543664
659,,1,19,8,26,7,,1744268837630
660,,1,26,4,29,4,,1744269461832
661,,1,29,4,19,10,,1744269810193
662,,1,28,3,19,10,,1744270420346
663,,1,5,8,35,2,,1744271708417
664,,1,35,7,5,6,,1744272257787
665,,1,37,2,38,4,,1744273043745
666,,1,11,5,38,7,,1744273741067
667,,1,11,7,11,5,,1744274202063
668,,1,38,2,32,2,,1744275665797
669,,1,35,7,38,9,,1744278551706
670,,1,39,4,39,2,,1744279123240
671,,1,35,6,40,9,,1744279472866
672,,1,16,9,28,6,,1744279488645
673,,1,39,3,39,3,,1744279509171
674,,1,11,6,28,6,,1744280053293
675,,1,40,7,35,2,,1744280170348
676,,1,11,5,28,9,,1744280485013
677,,1,1,2,16,3,,1744282040564
678,,1,16,3,11,5,,1744283676760
679,,1,16,4,16,8,,1744285251943
680,,1,2,7,2,2,,1744285722319
681,,1,6,4,11,7,,1744291102191
682,,1,16,4,11,7,,1744291657626
683,,1,16,7,11,4,,1744292007028
684,,1,12,8,24,4,,1744295370688
685,,1,6,7,3,8,,1744296624343
